Code.DANE,Year,Month,period,Code.DANE.period,Code.DANE.year,total_population,Runoff,SST3,SST4,SST34,SST12,ESOI,SOI,NATL,SATL,TROP,MPI,Cases,municipality
5001,2007,1,1,5001001,50012007,2265244,11.740666,26.61,28.92,26.99,25.86,0,-1.5,25.16,27.06,28.18,12.8,0,MEDELLIN
5001,2007,2,2,5001002,50012007,2265244,3.223663,26.52,28.61,26.99,25.86,0,-1.5,25.16,27.06,28.18,12.8,0,MEDELLIN
5001,2007,3,3,5001003,50012007,2265244,22.575906,26.71,28.63,26.18,25.4,0,0.1,25.37,26.66,27.67,12.8,0,MEDELLIN
5001,2007,4,4,5001004,50012007,2265244,80.795752,27.26,28.66,27.41,26.45,-1.4,-2.3,25.7,26.99,28.16,12.8,0,MEDELLIN
5001,2007,5,5,5001005,50012007,2265244,50.276601,26.42,28.65,27.79,26.69,-0.9,-1.2,25.58,27.02,28.39,12.8,0,MEDELLIN
5001,2007,6,6,5001006,50012007,2265244,29.802241,26.19,28.73,27.41,26.45,-1.4,-2.3,25.7,26.99,28.16,12.8,0,MEDELLIN
5001,2007,7,7,5001007,50012007,2265244,13.823827,25.24,28.55,28.22,26.8,-1.2,-0.5,25.42,27.84,28.63,12.8,0,MEDELLIN
5001,2007,8,8,5001008,50012007,2265244,61.267561,24.2,28.53,26.18,25.4,0,0.1,25.37,26.66,27.67,12.8,0,MEDELLIN
5001,2007,9,9,5001009,50012007,2265244,35.045627,23.99,28.16,27.79,26.69,-0.9,-1.2,25.58,27.02,28.39,12.8,0,MEDELLIN
5001,2007,10,10,5001010,50012007,2265244,44.14523,23.8,28.05,25.83,25.57,0.5,-0.8,25.49,26.31,27.72,12.8,0,MEDELLIN
5001,2007,11,11,5001011,50012007,2265244,42.936609,23.66,27.57,29.12,26.81,-2.6,-3.2,25.71,27.12,28.6,12.8,0,MEDELLIN
5001,2007,12,12,5001012,50012007,2265244,37.832024,23.91,27.65,29.12,26.81,-2.6,-3.2,25.71,27.12,28.6,12.8,0,MEDELLIN
5001,2008,1,13,5001013,50012008,2291378,32.623012,24.32,26.78,25.83,25.57,0.5,-0.8,25.49,26.31,27.72,12.8,0,MEDELLIN
5001,2008,2,14,5001014,50012008,2291378,56.87845,25.3,26.71,26.81,26.24,0.4,-0.1,26.12,26.48,28.02,12.8,0,MEDELLIN
5001,2008,3,15,5001015,50012008,2291378,28.358971,26.69,27.14,28.9,27.57,-1.2,-0.1,25.91,27.49,29.04,12.8,0,MEDELLIN
5001,2008,4,16,5001016,50012008,2291378,43.280795,27.28,27.57,26.81,26.24,0.4,-0.1,26.12,26.48,28.02,12.8,0,MEDELLIN
5001,2008,5,17,5001017,50012008,2291378,57.968121,27.18,27.9,28.6,25.68,0,0.2,25.84,27.34,28.92,12.8,0,MEDELLIN
5001,2008,6,18,5001018,50012008,2291378,48.527861,26.52,27.99,28.9,27.57,-1.2,-0.1,25.91,27.49,29.04,12.8,1,MEDELLIN
5001,2008,7,19,5001019,50012008,2291378,34.764302,26.12,28.11,27.14,26.56,-0.6,-0.1,25.79,27.23,28.34,12.8,1,MEDELLIN
5001,2008,8,20,5001020,50012008,2291378,31.536078,25.79,28.02,27.18,25.74,0.1,0.3,25.83,26.84,28.25,12.8,0,MEDELLIN
5001,2008,9,21,5001021,50012008,2291378,37.387451,25.35,28.09,28.89,22.88,-2.2,-2.4,27.67,22.74,27.69,12.8,0,MEDELLIN
5001,2008,10,22,5001022,50012008,2291378,84.931594,25.32,28.25,28.22,26.8,-1.2,-0.5,25.42,27.84,28.63,12.8,0,MEDELLIN
5001,2008,11,23,5001023,50012008,2291378,95.924601,25.15,28.17,28.82,24.48,-1.7,-1.9,26.93,23.59,27.98,12.8,0,MEDELLIN
5001,2008,12,24,5001024,50012008,2291378,118.017415,24.64,27.68,26.48,25.83,0.1,2.4,25.52,26.82,28.15,12.8,0,MEDELLIN
5001,2009,1,25,5001025,50012009,2317336,13.100694,25.32,27.38,28.01,25.23,-0.6,1.3,25.68,26.93,28.66,12.8,1,MEDELLIN
5001,2009,2,26,5001026,50012009,2317336,15.751424,25.96,27.41,27.94,26.08,-1.2,-2.4,26.24,26.91,28.23,12.8,1,MEDELLIN
5001,2009,3,27,5001027,50012009,2317336,26.813198,26.51,27.69,28.6,25.68,0,0.2,25.84,27.34,28.92,12.8,0,MEDELLIN
5001,2009,4,28,5001028,50012009,2317336,23.767895,27.53,28.3,26.99,25.86,0,-1.5,25.16,27.06,28.18,12.8,0,MEDELLIN
5001,2009,5,29,5001029,50012009,2317336,17.117561,27.59,28.82,28.82,24.48,-1.7,-1.9,26.93,23.59,27.98,12.8,0,MEDELLIN
